result,win_before_team1,win_before_team2,draw_before_team1,draw_before_team2,history_team1_lose_team2,history_team1_win_team2,history_team1_draw_team2,is_opponent_big6,venue_Home,venue_Away
D,0.4,0.2,0.4,0.2,0.5,0.25,0.25,1,1,0
L,0.4,0.0,0.4,0.4,0.0,0.0,0.0,0,0,1
W,0.2,0.2,0.4,0.8,0.5,0.5,0.0,0,1,0
L,0.4,0.6,0.4,0.2,1.0,0.0,0.0,1,0,1
W,0.2,0.4,0.4,0.2,0.75,0.25,0.0,0,0,1
L,0.4,0.2,0.2,0.0,0.5,0.5,0.0,0,1,0
L,0.4,0.6,0.0,0.2,0.5,0.5,0.0,0,0,1
L,0.4,0.4,0.0,0.4,0.25,0.0,0.75,0,1,0
D,0.2,0.2,0.0,0.2,0.25,0.5,0.25,0,0,1
L,0.2,0.8,0.2,0.0,0.25,0.25,0.5,1,0,1
D,0.0,0.4,0.2,0.2,0.5,0.5,0.0,0,1,0
L,0.0,0.2,0.4,0.2,0.0,1.0,0.0,0,0,1
D,0.0,0.4,0.4,0.4,0.5,0.25,0.25,1,1,0
D,0.0,0.4,0.6,0.4,0.6,0.2,0.2,0,1,0
L,0.0,0.2,0.6,0.0,0.0,0.0,1.0,0,0,1
D,0.0,0.2,0.6,0.4,0.3333333333333333,0.3333333333333333,0.3333333333333333,0,1,0
L,0.0,0.8,0.6,0.2,1.0,0.0,0.0,1,0,1
D,0.0,0.2,0.6,0.4,0.3333333333333333,0.6666666666666666,0.0,0,1,0
L,0.0,0.2,0.6,0.6,0.4,0.2,0.4,1,0,1
W,0.0,0.6,0.4,0.4,0.3333333333333333,0.6666666666666666,0.0,0,0,1
L,0.2,0.6,0.4,0.2,1.0,0.0,0.0,1,1,0
W,0.2,0.4,0.2,0.4,0.4,0.2,0.4,1,1,0
L,0.4,0.2,0.2,0.4,0.4,0.4,0.2,0,0,1
D,0.4,0.2,0.0,0.2,0.0,0.6666666666666666,0.3333333333333333,0,1,0
D,0.4,0.4,0.2,0.2,0.4,0.4,0.2,0,0,1
D,0.2,0.0,0.4,0.2,1.0,0.0,0.0,0,1,0
D,0.2,0.2,0.6,0.0,0.4,0.2,0.4,1,0,1
L,0.0,0.6,0.8,0.0,0.6,0.4,0.0,0,1,0
D,0.0,0.0,0.8,0.2,0.6666666666666666,0.3333333333333333,0.0,0,0,1
W,0.0,0.4,0.8,0.4,0.6,0.4,0.0,0,1,0
L,0.2,0.2,0.6,0.2,0.4,0.0,0.6,0,0,1
W,0.2,0.0,0.4,0.4,0.2,0.4,0.4,0,1,0
D,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0,1,0
L,0.0,0.0,1.0,1.0,0.5,0.1666666666666666,0.3333333333333333,1,0,1
L,0.0,0.0,0.5,0.5,0.25,0.5,0.25,0,0,1
W,0.0,0.6666666666666666,0.3333333333333333,0.0,0.5,0.1666666666666666,0.3333333333333333,0,1,0
L,0.25,0.5,0.25,0.25,0.1666666666666666,0.5,0.3333333333333333,0,1,0
W,0.2,0.0,0.2,0.2,0.0,0.0,0.0,0,0,1
L,0.4,0.8,0.0,0.2,1.0,0.0,0.0,1,1,0
D,0.4,0.0,0.0,0.2,0.6666666666666666,0.3333333333333333,0.0,0,0,1
W,0.4,0.6,0.2,0.4,1.0,0.0,0.0,1,1,0
L,0.4,0.6,0.2,0.4,0.5,0.5,0.0,0,0,1
D,0.4,0.0,0.2,0.6,0.0,0.0,0.0,0,1,0
D,0.2,0.4,0.4,0.4,0.3333333333333333,0.3333333333333333,0.3333333333333333,1,0,1
D,0.2,0.0,0.6,0.6,0.25,0.25,0.5,0,1,0
W,0.2,0.4,0.6,0.2,0.5,0.0,0.5,0,0,1
W,0.2,0.8,0.6,0.2,0.3333333333333333,0.3333333333333333,0.3333333333333333,0,1,0
L,0.4,0.6,0.6,0.2,0.5,0.0,0.5,0,0,1
L,0.4,0.4,0.4,0.0,0.3333333333333333,0.1666666666666666,0.5,1,1,0
W,0.4,0.0,0.2,0.2,0.25,0.75,0.0,0,0,1
L,0.6,0.6,0.0,0.4,0.2857142857142857,0.4285714285714285,0.2857142857142857,0,0,1
D,0.4,0.0,0.0,0.0,0.5,0.5,0.0,0,1,0
W,0.2,0.0,0.2,0.4,0.5714285714285714,0.2857142857142857,0.1428571428571428,0,1,0
D,0.4,0.8,0.2,0.2,1.0,0.0,0.0,1,0,1
W,0.4,0.2,0.4,0.2,0.0,1.0,0.0,0,1,0
L,0.4,0.0,0.4,0.6,0.3333333333333333,0.3333333333333333,0.3333333333333333,0,0,1
D,0.4,0.4,0.4,0.2,0.5714285714285714,0.4285714285714285,0.0,0,1,0
D,0.4,1.0,0.4,0.0,0.8571428571428571,0.1428571428571428,0.0,1,0,1
L,0.2,0.8,0.6,0.2,0.2857142857142857,0.2857142857142857,0.4285714285714285,1,1,0
W,0.2,0.2,0.4,0.2,0.0,0.0,1.0,0,0,1
L,0.2,0.6,0.4,0.2,0.2,0.8,0.0,0,1,0
L,0.2,0.4,0.4,0.0,0.4285714285714285,0.1428571428571428,0.4285714285714285,1,0,1
D,0.2,0.2,0.2,0.6,0.4285714285714285,0.2857142857142857,0.2857142857142857,0,0,1
W,0.2,0.4,0.2,0.2,0.5714285714285714,0.1428571428571428,0.2857142857142857,1,1,0
D,0.4,0.2,0.2,0.2,0.0,0.4,0.6,0,0,1
W,0.2,0.2,0.4,0.6,0.4,0.4,0.2,0,1,0
D,0.4,0.4,0.4,0.4,0.2,0.2,0.6,0,0,1
W,0.4,0.4,0.6,0.2,0.3333333333333333,0.3333333333333333,0.3333333333333333,0,1,0
W,0.6,0.2,0.4,0.6,0.2857142857142857,0.4285714285714285,0.2857142857142857,0,0,1
D,0.6,0.4,0.4,0.6,0.5714285714285714,0.0,0.4285714285714285,0,1,0
D,0.0,0.0,0.0,0.0,0.5,0.25,0.25,0,1,0
W,0.0,0.0,1.0,1.0,0.3333333333333333,0.5,0.1666666666666666,0,0,1
W,0.5,0.0,0.5,0.0,0.25,0.75,0.0,0,0,1
W,0.6666666666666666,0.0,0.3333333333333333,0.3333333333333333,0.25,0.5,0.25,0,1,0
D,0.75,1.0,0.25,0.0,0.375,0.25,0.375,1,0,1
L,0.6,0.4,0.4,0.4,0.3333333333333333,0.6666666666666666,0.0,0,1,0
