result,venue,win_before_team1,win_before_team2,draw_before_team2,lose_before_team1,lose_before_team2,history_team1_lose_team2,is_opponent_big6
L,Away,1.0,0.4,0.0,0.0,0.6,0.25,0
L,Home,0.8,0.6,0.2,0.2,0.2,0.0,0
W,Away,0.6,0.2,0.2,0.4,0.6,0.0,0
W,Home,0.6,0.8,0.0,0.4,0.2,0.25,0
W,Home,0.6,0.4,0.2,0.4,0.4,0.0,1
L,Away,0.6,0.4,0.2,0.4,0.4,0.25,0
W,Home,0.6,0.4,0.6,0.4,0.0,0.0,0
L,Away,0.8,0.6,0.2,0.2,0.2,0.25,1
D,Away,0.6,0.4,0.2,0.4,0.4,0.0,1
W,Home,0.4,0.2,0.4,0.4,0.4,0.25,0
W,Away,0.4,0.2,0.2,0.4,0.6,0.0,0
D,Home,0.6,0.6,0.2,0.2,0.2,0.25,1
D,Home,0.4,0.0,0.4,0.0,0.6,0.25,1
W,Home,0.4,0.4,0.4,0.2,0.2,0.0,1
W,Away,0.6,0.2,0.4,0.0,0.4,0.0,0
W,Home,0.8,0.0,0.8,0.0,0.2,0.0,0
D,Away,0.8,0.2,0.6,0.0,0.2,0.1666666666666666,1
W,Home,0.6,0.2,0.4,0.0,0.4,0.0,0
D,Away,0.8,0.8,0.2,0.0,0.0,0.2,0
W,Away,0.6,0.4,0.2,0.0,0.4,0.0,1
W,Home,0.6,1.0,0.0,0.0,0.0,0.4,0
L,Away,0.6,0.6,0.0,0.0,0.4,0.3333333333333333,0
W,Home,0.6,0.4,0.4,0.2,0.2,0.4,0
D,Away,0.6,0.0,0.2,0.2,0.8,0.0,0
D,Home,0.6,1.0,0.0,0.2,0.0,0.4,1
W,Away,0.4,0.6,0.4,0.2,0.0,0.2,0
D,Away,0.4,0.6,0.2,0.2,0.2,0.0,0
L,Home,0.4,0.4,0.2,0.0,0.4,0.4,0
W,Home,0.2,0.2,0.4,0.2,0.4,0.4,0
W,Away,0.4,0.0,0.0,0.2,1.0,0.2,0
W,Home,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0
W,Away,1.0,0.0,0.0,0.0,1.0,0.1666666666666666,0
