result,history_team1_draw_team2,is_opponent_big6,draw_before_team1,history_team1_win_team2,history_team1_lose_team2,lose_before_team2,win_before_team2,venue_Home
W,0.0,0,0.0,0.0,0.0,0.0,0.0,1
D,0.0,0,0.0,0.0,0.0,1.0,0.0,0
D,0.0,0,0.5,0.0,0.0,1.0,0.0,0
W,0.0,0,0.6666666666666666,0.0,0.0,0.3333333333333333,0.3333333333333333,1
W,0.0,0,0.5,0.0,0.0,0.5,0.25,1
W,0.0,0,0.4,0.0,0.0,0.4,0.4,0
D,0.0,1,0.4,0.0,0.0,0.4,0.0,1
L,0.0,1,0.4,0.0,0.0,0.0,0.4,0
W,0.0,0,0.2,0.0,0.0,0.0,0.6,0
W,0.0,0,0.2,0.0,0.0,0.2,0.4,1
W,0.0,0,0.2,0.0,0.0,0.4,0.4,1
W,0.0,0,0.2,0.0,0.0,0.6,0.2,0
W,0.0,0,0.0,0.0,0.0,0.8,0.2,1
W,0.0,1,0.0,0.0,0.0,0.6,0.4,0
W,0.0,0,0.0,0.0,0.0,0.4,0.2,0
W,0.0,1,0.0,0.0,0.0,0.4,0.6,1
D,0.0,0,0.0,0.0,0.0,0.6,0.4,0
L,0.0,1,0.2,0.0,0.0,0.6,0.4,1
W,1.0,0,0.2,0.0,0.0,0.2,0.8,1
W,0.0,0,0.2,0.0,0.0,0.0,0.2,0
D,0.0,0,0.2,1.0,0.0,0.4,0.4,0
W,1.0,0,0.4,0.0,0.0,0.2,0.4,1
W,0.0,0,0.2,1.0,0.0,0.6,0.2,0
W,0.0,0,0.2,1.0,0.0,0.6,0.2,1
W,0.0,0,0.2,1.0,0.0,0.0,0.6,0
W,0.0,0,0.2,1.0,0.0,0.4,0.2,1
D,1.0,1,0.0,0.0,0.0,0.2,0.6,0
W,0.0,1,0.2,0.0,1.0,0.0,0.6,1
D,0.0,0,0.2,1.0,0.0,0.0,0.6,0
W,0.0,0,0.4,1.0,0.0,0.4,0.6,1
L,0.0,1,0.4,0.0,1.0,0.2,0.2,0
W,1.0,0,0.4,0.0,0.0,0.2,0.4,1
W,0.0,0,0.2,1.0,0.0,0.2,0.4,1
D,0.0,1,0.2,1.0,0.0,0.6,0.2,1
W,0.0,0,0.2,1.0,0.0,0.4,0.4,0
L,0.0,0,0.2,1.0,0.0,0.8,0.2,1
L,0.0,0,0.2,1.0,0.0,0.6,0.0,0
L,0.0,1,0.2,1.0,0.0,0.6,0.2,0
W,0.0,0,0.0,0.0,0.0,0.0,0.0,1
D,0.0,0,0.0,0.0,0.0,1.0,0.0,0
D,0.0,0,0.5,1.0,0.0,0.0,0.0,0
W,0.0,0,0.6666666666666666,1.0,0.0,0.0,0.6666666666666666,1
L,0.5,0,0.5,0.5,0.0,0.0,0.3333333333333333,0
W,0.5,0,0.4,0.5,0.0,0.4,0.2,1
W,0.0,1,0.4,0.5,0.5,0.6,0.4,0
